iter	MultiClass
0	1.073097971
1	1.051471483
2	1.029455533
3	1.01004116
4	0.9938214784
5	0.977089079
6	0.9616678103
7	0.9482253151
8	0.9359955653
9	0.9230249423
10	0.9127739953
11	0.9023490531
12	0.8911288674
13	0.8810124254
14	0.8715551919
15	0.8625985702
16	0.8548518986
17	0.8479625
18	0.8411260641
19	0.8355982322
20	0.8269866774
21	0.8194916425
22	0.8127215444
23	0.8060480417
24	0.8005775566
25	0.7951782715
26	0.7887840311
27	0.7841741877
28	0.7791114829
29	0.7743730723
30	0.7693732236
31	0.7657259668
32	0.761743926
33	0.7574606052
34	0.7529618661
35	0.749945041
36	0.7461597717
37	0.7428212335
38	0.7401410786
39	0.7371241006
40	0.7334938054
41	0.7309623801
42	0.7292329033
43	0.7248363713
44	0.7223762429
45	0.7190591317
46	0.7160352633
47	0.7129440671
48	0.7111333213
49	0.7092555985
50	0.7066187798
51	0.704458893
52	0.7017788438
53	0.6980979123
54	0.6960419207
55	0.6933665569
56	0.6903272183
57	0.6882391861
58	0.6855061491
59	0.6838597272
60	0.6810657379
61	0.6795088859
62	0.6765927345
63	0.6745735773
64	0.6731804729
65	0.6716314763
66	0.669280744
67	0.6675498625
68	0.6663513244
69	0.6640287305
70	0.6625393397
71	0.6612634869
72	0.6593192522
73	0.6574714822
74	0.6554736143
75	0.6543352104
76	0.6531909486
77	0.6517157489
78	0.6497834208
79	0.6486883961
80	0.6470304551
81	0.6456021801
82	0.644264881
83	0.6430082742
84	0.6419241889
85	0.6408266883
86	0.6390945456
87	0.6374560278
88	0.6362018531
89	0.6344315395
90	0.6324694743
91	0.6307970941
92	0.6301445996
93	0.6287292717
94	0.6274163364
95	0.6265583568
96	0.6252886214
97	0.6241272
98	0.6229306792
99	0.6218311752
100	0.620682005
101	0.619974089
102	0.6188084487
103	0.6176127838
104	0.6162760098
105	0.6151316249
106	0.6144591493
107	0.6132648261
108	0.6123500336
109	0.611673898
110	0.6104817598
111	0.6094463089
112	0.6084559134
113	0.6073667895
114	0.6059304192
115	0.6048367467
116	0.6039993456
117	0.6025155344
118	0.6017139006
119	0.60071309
120	0.599914456
121	0.5994575592
122	0.5989006988
123	0.5984828926
124	0.5975769092
125	0.5967213325
126	0.5958871301
127	0.5950351337
128	0.5937841054
129	0.5928492648
130	0.592087342
131	0.5910033175
132	0.5900585895
133	0.5889971884
134	0.5885045284
135	0.587389642
136	0.5867557842
137	0.5861979547
138	0.5850312372
139	0.5842066878
140	0.5835308296
141	0.5826990332
142	0.5817201058
143	0.5810171143
144	0.5803461623
145	0.5793061672
146	0.5786330125
147	0.5778539274
148	0.576978409
149	0.5758541736
150	0.5750706292
151	0.5744369485
152	0.5736240309
153	0.572943988
154	0.5717553942
155	0.5706756054
156	0.5699227434
157	0.5693730151
158	0.568553732
159	0.5677689488
160	0.566551538
161	0.5655839422
162	0.5648505089
163	0.5640969627
164	0.5631515036
165	0.5621105376
166	0.5612010454
167	0.5603650039
168	0.5594639708
169	0.5583470434
170	0.5571582384
171	0.5567616024
172	0.5558525489
173	0.5551234246
174	0.5546600269
175	0.553695085
176	0.5530041747
177	0.5517683948
178	0.5509606009
179	0.5502523401
180	0.5496505397
181	0.5486794505
182	0.5479874771
183	0.5473421668
184	0.5461460248
185	0.5450988313
186	0.5439825622
187	0.5430018265
188	0.5421638696
189	0.5417613604
190	0.5411776185
191	0.5402328675
192	0.5395234042
193	0.5388340627
194	0.5383585396
195	0.5373919085
196	0.5366807314
197	0.5358299101
198	0.5349525839
199	0.5338758017
200	0.5331740198
201	0.532477836
202	0.5317208742
203	0.5307941992
204	0.5299285576
205	0.5291415867
206	0.5281529346
