iter	Passed	Remaining
0	210	210329
1	273	136501
2	334	111253
3	419	104460
4	495	98606
5	589	97657
6	682	96809
7	767	95214
8	844	93024
9	928	91918
10	1008	90705
11	1110	91460
12	1192	90530
13	1277	89989
14	1355	88992
15	1433	88181
16	1511	87415
17	1614	88057
18	1686	87100
19	1778	87159
20	1848	86186
21	1921	85428
22	1991	84612
23	2070	84201
24	2156	84105
25	2247	84183
26	2324	83753
27	2399	83308
28	2484	83180
29	2552	82538
30	2691	84125
31	2842	85974
32	2917	85489
33	2996	85142
34	3080	84923
35	3165	84773
36	3245	84469
37	3321	84081
38	3395	83678
39	3508	84193
40	3610	84454
41	3692	84219
42	3779	84115
43	3870	84090
44	3949	83809
45	4046	83927
46	4120	83542
47	4198	83274
48	4277	83026
49	4345	82555
50	4421	82269
51	4502	82085
52	4587	81968
53	4665	81734
54	4734	81346
55	4817	81208
56	4907	81181
57	4989	81031
58	5067	80823
59	5139	80523
60	5209	80192
61	5278	79858
62	5364	79792
63	5463	79908
64	5539	79684
65	5622	79562
66	5720	79661
67	5799	79493
68	5872	79241
69	5945	78992
70	6024	78832
71	6105	78697
72	6187	78571
73	6267	78426
74	6350	78325
75	6446	78370
76	6520	78159
77	6605	78077
78	6683	77923
79	6762	77763
80	6848	77700
81	6928	77570
82	7013	77482
83	7091	77333
84	7166	77143
85	7244	76997
86	7317	76791
87	7393	76621
88	7472	76488
89	7554	76386
90	7635	76271
91	7712	76115
92	7787	75945
93	7873	75885
94	7966	75894
95	8048	75794
96	8131	75694
97	8215	75615
98	8341	75919
99	8421	75790
100	8495	75618
101	8569	75442
102	8640	75245
103	8726	75182
104	8807	75075
105	8889	74977
106	8966	74829
107	9050	74748
108	9146	74769
109	9217	74574
110	9289	74400
111	9366	74259
112	9448	74163
113	9532	74086
114	9613	73981
115	9707	73978
116	9786	73860
117	9865	73740
118	9942	73606
119	10019	73478
120	10094	73333
121	10173	73216
122	10250	73090
123	10289	72688
124	10369	72589
125	10451	72499
126	10530	72388
127	10609	72277
128	10686	72154
129	10759	72003
130	10833	71861
131	10905	71710
132	10978	71569
133	11051	71422
134	11131	71325
135	11209	71214
136	11286	71096
137	11363	70982
138	11436	70843
139	11505	70678
140	11576	70528
141	11651	70398
142	11726	70275
143	11803	70164
144	11879	70047
145	11950	69901
146	12049	69920
147	12134	69856
148	12208	69728
149	12279	69584
150	12352	69453
151	12433	69364
152	12506	69238
153	12584	69131
154	12654	68988
155	12728	68865
156	12807	68767
157	12889	68687
158	12969	68601
159	13045	68490
160	13127	68407
161	13198	68274
162	13278	68186
163	13353	68071
164	13423	67932
165	13499	67822
166	13583	67754
167	13661	67657
168	13741	67567
169	13831	67532
