respondent_id,age,gender,field_of_study,sleep_hours,physical_activity_hrs_per_week,caffeine_intake_mg_per_day,academic_stress_level_1_10,resting_heart_rate_bpm,diet_quality_1_10,pre_exam_anxiety_level_1_10,screen_time_hrs_per_day,social_media_hrs_per_day,screen_time_before_bed_minutes,notifications_per_day,uses_productivity_app,favorite_content_type,study_hours_per_week,procrastination_level_1_10,frequently_procrastinates,class_attendance_percent,late_assignments_per_semester,gpa,family_academic_achievement_history,takes_extra_tutoring,major_life_event_this_semester,digital_academic_wellbeing_level
STU-00001,48,Other,Information Systems,7.6,3.3,399.0,10,66,2,6,14.2,5.5,48,75,Yes,Social Media/Trends,0.0,6,No,82.5,4,2.17,No,Yes,Yes,Medium
STU-00004,28,Male,Other Program,6.5,5.6,131.0,8,76,9,3,6.3,8.0,91,150,No,Gaming,0.0,3,No,97.9,2,2.43,No,Yes,No,Low
STU-00005,31,Female,Culinary Arts,2.3,2.0,518.0,10,115,2,8,11.6,2.5,4,75,No,Education,9.1,9,Yes,73.3,3,2.06,Yes,Yes,Yes,Low
STU-00006,51,Male,Biology/Science,6.1,8.4,276.0,10,60,1,4,6.3,6.7,8,0,No,Social Media/Trends,6.8,4,No,88.6,4,2.6,Yes,Yes,Yes,Low
STU-00008,33,Male,Law,5.7,3.8,327.0,9,64,2,3,14.2,4.2,59,38,Yes,Social Media/Trends,0.0,10,Yes,77.2,4,1.95,No,Yes,Yes,Low
STU-00010,63,Other,Fine Arts,5.5,5.4,122.0,7,118,5,3,1.9,8.0,13,75,Yes,Gaming,11.4,5,No,83.3,3,2.27,Yes,No,Yes,Low
STU-00011,31,Female,Law,4.6,0.5,492.0,9,108,2,9,8.1,2.5,40,75,No,Social Media/Trends,9.1,5,No,83.4,0,2.53,Yes,Yes,No,Low
STU-00012,40,Male,Electrical Engineering,8.1,1.0,590.0,2,83,9,2,2.8,2.9,15,0,Yes,Entertainment,6.8,8,No,71.4,7,2.19,Yes,Yes,Yes,Medium
STU-00014,21,Other,Fine Arts,7.6,1.5,263.0,6,63,6,2,15.1,1.3,34,0,Yes,Social Media/Trends,0.0,3,Yes,100.0,3,2.52,No,No,Yes,High
STU-00016,41,Male,Nursing,6.9,6.6,193.0,8,63,1,5,10.7,0.4,27,112,No,News,11.4,7,No,64.8,3,2.05,Yes,No,No,Low
STU-00019,35,Male,Sports Science,7.0,2.5,276.0,2,95,4,2,3.6,3.8,52,38,Yes,Education,0.0,2,No,99.0,0,2.77,No,Yes,Yes,High
STU-00020,39,Other,Culinary Arts,6.4,2.4,364.0,2,114,8,1,16.0,,37,112,No,Gaming,0.0,3,No,86.3,3,2.69,No,No,Yes,Medium
STU-00025,59,Other,Nursing,7.4,1.4,373.0,2,77,7,4,1.9,2.1,49,112,Yes,Education,0.0,7,No,64.1,8,2.4,No,No,No,Medium
STU-00026,56,Female,Education,5.7,1.0,69.0,4,107,4,3,14.2,0.8,40,0,Yes,Social Media/Trends,6.8,7,Yes,82.4,2,2.32,Yes,Yes,Yes,Low
STU-00028,27,Other,Other Program,5.0,2.5,286.0,7,99,3,1,7.2,6.3,0,75,Yes,Education,0.0,5,No,77.6,4,2.37,No,No,No,Low
STU-00029,48,Male,Fine Arts,7.4,1.6,212.0,9,114,2,3,8.1,4.6,53,150,Yes,Entertainment,0.0,9,Yes,76.5,1,2.18,No,No,Yes,Low
STU-00032,55,Male,Nursing,7.0,2.0,294.0,1,78,6,4,16.0,1.7,3,112,No,Gaming,18.2,3,No,71.8,2,2.81,Yes,No,Yes,Low
STU-00033,28,Male,Fine Arts,5.9,6.0,194.0,1,96,10,3,2.8,3.4,17,75,Yes,Gaming,,5,Yes,87.6,3,3.06,Yes,Yes,No,High
STU-00035,46,Male,Biology/Science,4.5,3.6,548.0,2,101,4,3,3.6,7.2,31,0,Yes,Entertainment,4.5,6,Yes,63.5,2,2.5,Yes,Yes,No,Low
STU-00036,49,Other,Information Systems,6.3,3.1,211.0,10,103,8,5,8.9,2.5,27,38,No,Gaming,4.5,6,Yes,68.4,3,2.62,No,No,Yes,Low
STU-00037,54,Other,Biology/Science,4.8,3.5,253.0,7,62,2,4,7.2,0.8,22,0,Yes,Entertainment,4.5,10,Yes,68.0,1,2.39,No,Yes,Yes,Medium
STU-00038,33,Other,Fine Arts,8.0,5.4,123.0,10,70,5,3,3.6,2.9,44,0,No,Entertainment,2.3,7,Yes,94.6,2,2.52,No,Yes,No,Medium
STU-00039,25,Female,Fine Arts,7.4,3.8,145.0,4,70,3,1,1.0,7.2,78,0,No,Gaming,4.5,5,No,85.9,1,2.6,Yes,Yes,No,Low
STU-00040,53,Male,Electrical Engineering,7.5,1.8,490.0,5,78,9,3,15.1,0.4,52,112,Yes,Entertainment,2.3,2,No,73.7,3,1.9,No,Yes,No,Medium
STU-00041,22,Other,Sports Science,8.0,3.9,68.0,6,88,8,3,5.4,1.7,53,75,Yes,Social Media/Trends,4.5,2,No,85.1,0,3.12,Yes,No,No,High
